x,cdf
-5.000,0.000000288703593
-4.990,0.000000304039425
-4.980,0.000000320159042
-4.970,0.000000337100813
-4.960,0.000000354904897
-4.950,0.000000373613321
-4.940,0.000000393270059
-4.930,0.000000413921125
-4.920,0.000000435614653
-4.910,0.000000458400995
-4.900,0.000000482332819
-4.890,0.000000507465203
-4.880,0.000000533855744
-4.870,0.000000561564665
-4.860,0.000000590654930
-4.850,0.000000621192357
-4.840,0.000000653245743
-4.830,0.000000686886993
-4.820,0.000000722191248
-4.810,0.000000759237022
-4.800,0.000000798106350
-4.790,0.000000838884930
-4.780,0.000000881662281
-4.770,0.000000926531899
-4.760,0.000000973591428
-4.750,0.000001022942831
-4.740,0.000001074692567
-4.730,0.000001128951778
-4.720,0.000001185836486
-4.710,0.000001245467788
-4.700,0.000001307972070
-4.690,0.000001373481217
-4.680,0.000001442132845
-4.670,0.000001514070527
-4.660,0.000001589444038
-4.650,0.000001668409604
-4.640,0.000001751130165
-4.630,0.000001837775641
-4.620,0.000001928523213
-4.610,0.000002023557616
-4.600,0.000002123071432
-4.590,0.000002227265410
-4.580,0.000002336348782
-4.570,0.000002450539603
-4.560,0.000002570065094
-4.550,0.000002695162003
-4.540,0.000002826076974
-4.530,0.000002963066940
-4.520,0.000003106399512
-4.510,0.000003256353401
-4.500,0.000003413218838
-4.490,0.000003577298024
-4.480,0.000003748905586
-4.470,0.000003928369048
-4.460,0.000004116029327
-4.450,0.000004312241239
-4.440,0.000004517374023
-4.430,0.000004731811887
-4.420,0.000004955954568
-4.410,0.000005190217916
-4.400,0.000005435034492
-4.390,0.000005690854191
-4.380,0.000005958144886
-4.370,0.000006237393088
-4.360,0.000006529104634
-4.350,0.000006833805398
-4.340,0.000007152042018
-4.330,0.000007484382658
-4.320,0.000007831417786
-4.310,0.000008193760980
-4.300,0.000008572049765
-4.290,0.000008966946470
-4.280,0.000009379139113
-4.270,0.000009809342324
-4.260,0.000010258298285
-4.250,0.000010726777709
-4.240,0.000011215580842
-4.230,0.000011725538506
-4.220,0.000012257513167
-4.210,0.000012812400040
-4.200,0.000013391128227
-4.190,0.000013994661891
-4.180,0.000014624001466
-4.170,0.000015280184903
-4.160,0.000015964288957
-4.150,0.000016677430508
-4.140,0.000017420767928
-4.130,0.000018195502481
-4.120,0.000019002879777
-4.110,0.000019844191255
-4.100,0.000020720775721
-4.090,0.000021634020928
-4.080,0.000022585365195
-4.070,0.000023576299089
-4.060,0.000024608367138
-4.050,0.000025683169607
-4.040,0.000026802364319
-4.030,0.000027967668526
-4.020,0.000029180860838
-4.010,0.000030443783206
-4.000,0.000031758342953
-3.990,0.000033126514875
-3.980,0.000034550343388
-3.970,0.000036031944741
-3.960,0.000037573509286
-3.950,0.000039177303814
-3.940,0.000040845673953
-3.930,0.000042581046626
-3.920,0.000044385932585
-3.910,0.000046262928998
-3.900,0.000048214722122
-3.890,0.000050244090030
-3.880,0.000052353905420
-3.870,0.000054547138495
-3.860,0.000056826859914
